Name,Team,Position,Games,FGM,FGA,FTM,FTA,Rebounds,Assists,Steals,Blocks,TO,Points
Aron Baynes,,C,79,143.4,310.9,38.1,52.2,269.8,55.2,15,31.1,42.1,366.1
Cory Joseph,DET,SG PG,64,130.4,293.9,54.2,63.2,120.4,146.4,32.1,11,61.2,354.1
Patty Mills,BKN,SG PG,73,225.7,540.6,63.2,72.2,146.4,136.4,39.1,10,59.2,679
Kyle Anderson,MIN,SF PF,73,211.6,457.4,79.2,112.3,351,187.6,74.2,46.1,72.2,546.6
Blake Griffin,BOS,PF C,55,115.3,287.9,70.2,92.3,203.6,86.3,23.1,15,35.1,346
DeAndre Jordan,DEN,C,64,108.3,156.5,34.1,57.2,282.8,42.1,12,33.1,41.1,250.8
Chris Paul,PHO,PG,69,379.1,767.3,180.5,201.6,293.9,658,113.3,19.1,151.5,1016
Austin Rivers,MIN,SG SF,73,131.4,311.9,36.1,50.2,138.4,103.3,44.1,9.1,48.1,375.1
Tobias Harris,PHI,SF PF,75,468.4,958.9,165.5,194.6,487.5,242.7,48.1,44.1,115.3,1207.6
Nikola Vucevic,CHI,C,75,568.7,1195.6,118.4,148.4,787.4,235.7,69.2,67.2,134.4,1368.1
Evan Fournier,NY,SG SF,75,327,732.2,119.4,153.5,195.6,157.5,66.2,19.1,99.3,964.9
Elfrid Payton,,SG PG,79,225.7,539.6,55.2,100.3,215.6,329,54.2,15,106.3,537.6
Aaron Gordon,DEN,SF PF,75,407.2,860.6,171.5,248.7,439.3,202.6,46.1,43.1,130.4,1075.2
Dewayne Dedmon,MIA,C,79,133.4,238.7,54.2,68.2,301.9,32.1,23.1,33.1,53.2,337
Maurice Harkless,,SF PF,58,95.3,207.6,32.1,46.1,138.4,39.1,39.1,28.1,34.1,255.8
Victor Oladipo,MIA,SG PG,55,248.7,619.9,120.4,152.5,178.5,180.5,43.1,10,111.3,713.1
Jordan Clarkson,UTA,SG PG,76,436.3,1008,137.4,161.5,254.8,182.5,61.2,16,111.3,1191.6
Julius Randle,NY,PF C,75,539.6,1219.6,315.9,411.2,721.2,367.1,58.2,35.1,236.7,1525.6
Wayne Ellington,,SG SF PG,79,207.6,516.5,31.1,37.1,154.5,105.3,50.2,9.1,54.2,589.8
Nerlens Noel,DET,C,52,85.3,139.4,41.1,57.2,336,44.1,48.1,68.2,48.1,212.6
JaKarr Sampson,,SF PF,29,42.1,77.2,13,18.1,54.2,7,7,7,8,97.3
Joel Embiid,PHI,C,70,667,1344,647.9,783.3,796.4,262.8,74.2,98.3,216.6,2070.2
Jerami Grant,POR,PF,68,381.1,857.6,245.7,301.9,269.8,144.4,59.2,65.2,114.3,1124.4
Solomon Hill,,SF PF,29,28.1,93.3,7,8,50.2,22.1,10,0,11,79.2
Paul George,LAC,SF PF,62,497.5,1124.4,242.7,278.8,405.2,311.9,101.3,28.1,209.6,1423.3
George Hill,MIL,SG PG,62,130.4,273.8,59.2,69.2,174.5,131.4,45.1,7,47.1,372.1
Kemba Walker,,PG,72,464.4,1116.3,212.6,244.7,280.8,310.9,67.2,25.1,135.4,1322
Cody Zeller,UTA,PF C,79,158.5,287.9,91.3,124.4,294.9,65.2,27.1,22.1,45.1,415.2
Bismack Biyombo,PHO,C,79,69.2,120.4,32.1,59.2,134.4,28.1,8,26.1,22.1,170.5
Udonis Haslem,MIA,PF,29,20.1,44.1,4,4,46.1,7,0,0,7,44.1
