Name,Team,Position,Games,FGM,FGA,FTM,FTA,Rebounds,Assists,Steals,Blocks,TO,Points
Ayo Dosunmu,CHI,SG PG,78,275.8,530.6,53.2,78.2,216.6,250.8,67.2,27.1,93.3,677
Usman Garuba,HOU,PF C,62,82.2,190.6,21.1,29.1,240.7,54.2,32.1,35.1,26.1,201.6
Tre Mann,OKC,SG PG,79,202.6,515.5,58.2,72.2,150.4,80.2,41.1,9.1,64.2,550.6
Greg Brown III,POR,SF PF,29,32.1,75.2,17.1,25.1,48.1,14,7,7,13,88.3
Neemias Queta,SAC,C,29,22.1,48.1,15,20.1,37.1,7,0,8,7,59.2
Quentin Grimes,NY,SG SF,66,204.6,506.5,27.1,39.1,162.5,85.3,54.2,19.1,64.2,566.7
Joe Wieskamp,SA,SG SF,29,0,0,1,0,0,0,0,0,0,1
Jeremiah Robinson-Earl,OKC,PF C,68,210.6,509.5,63.2,84.3,385.2,75.2,44.1,24.1,59.2,570.7
Luka Garza,MIN,C,29,40.1,89.3,24.1,37.1,55.2,15,8,7,8,115.3
Sam Hauser,BOS,SF PF,29,2,4,1,0,4,2,0,0,0,7
Josh Christopher,HOU,SG SF PG,75,236.7,528.6,89.3,121.4,187.6,166.5,68.2,13,106.3,628.9
Jason Preston,LAC,PG,29,41.1,97.3,19.1,23.1,23.1,45.1,8,0,16,123.4
Brandon Boston Jr.,LAC,SG PG,29,47.1,122.4,23.1,28.1,43.1,18.1,8,8,11,132.4
Jericho Sims,NY,C,79,54.2,75.2,18.1,41.1,214.6,30.1,15,30.1,26.1,126.4
Miles McBride,NY,PG,29,15,51.2,4,6,19.1,22.1,7,0,0,41.1
Isaiah Livers,DET,SG SF,79,140.4,307.9,41.1,48.1,198.6,73.2,47.1,27.1,60.2,418.3
JT Thor,CHA,SF PF,29,7,16,4,5,23.1,7,7,8,7,19.1
Joshua Primo,SA,SG SF,68,223.7,597.8,95.3,127.4,191.6,176.5,34.1,40.1,122.4,626.9
Isaiah Todd,WAS,PF C,29,47.1,175.5,12,33.1,59.2,17.1,8,8,13,113.3
Day'Ron Sharpe,BKN,C,79,150.4,260.8,42.1,72.2,245.7,30.1,15,32.1,48.1,346
Herbert Jones,NO,SF PF,77,271.8,571.7,138.4,163.5,290.9,160.5,128.4,54.2,98.3,743.2
Trey Murphy III,NO,SG SF PF,75,198.6,504.5,80.2,90.3,163.5,49.1,33.1,10,20.1,591.8
Bones Hyland,DEN,SG PG,73,290.9,722.2,136.4,158.5,222.7,247.7,51.2,25.1,106.3,883.6
Charles Bassey,PHI,C,29,23.1,36.1,8,9.1,47.1,7,0,12,7,54.2
David Johnson,TOR,PG,29,40.1,94.3,18.1,22.1,26.1,45.1,8,0,16,120.4
Sandro Mamukelashvili,MIL,PF C,29,25.1,50.2,7,9.1,55.2,7,7,8,7,57.2
Santi Aldama,MEM,PF C,79,159.5,397.2,61.2,96.3,270.8,64.2,19.1,30.1,46.1,397.2
Kessler Edwards,BKN,SG SF PF,29,40.1,97.3,6,7,60.2,15,8,8,15,104.3
Dalano Banton,TOR,PG,29,22.1,54.2,7,12,30.1,26.1,7,0,15,55.2
Aaron Wiggins,OKC,SG SF,79,166.5,360.1,67.2,90.3,184.6,71.2,34.1,9.1,62.2,444.3
Scottie Lewis,,SG,29,42.1,100.3,17.1,21.1,31.1,23.1,7,0,15,123.4
Georgios Kalaitzakis,,SF PF,29,38.1,82.2,19.1,41.1,41.1,16,7,0,11,117.4
Duane Washington Jr.,PHO,SG SF PG,29,66.2,163.5,18.1,24.1,33.1,32.1,10,0,18.1,180.5
Austin Reaves,LAL,SG SF,79,132.4,288.9,89.3,105.3,173.5,99.3,24.1,16,36.1,395.2
Trendon Watford,POR,SF PF,66,177.5,334,90.3,118.4,231.7,94.3,30.1,36.1,54.2,458.4
Justin Champagnie,TOR,SG SF,79,46.1,99.3,15,14,99.3,15,8,7,12,123.4
Jose Alvarado,NO,PG,72,198.6,445.3,56.2,82.2,137.4,234.7,104.3,11,68.2,510.5
Terry Taylor,IND,SF PF C,29,71.2,116.3,19.1,27.1,86.3,24.1,7,7,15,168.5
Jordan Schakel,WAS,SF PF,29,30.1,71.2,13,15,36.1,17.1,8,0,8,88.3
DJ Stewart Jr.,MIA,,29,44.1,99.3,19.1,25.1,32.1,22.1,8,0,13,132.4
Daishen Nix,HOU,PG,29,22.1,55.2,15,26.1,24.1,29.1,8,0,20.1,66.2
Braxton Key,DET,SG SF PF,29,49.1,107.3,12,20.1,81.2,15,15,17.1,21.1,119.4
Ish Wainright,PHO,PF C,29,15,38.1,4,5,20.1,7,8,0,8,41.1
Jamorko Pickett,CLE,SF PF C,29,21.1,58.2,1,2,44.1,8,0,7,7,58.2
Xavier Moon,,SG PG,29,39.1,92.3,13,16,22.1,42.1,15,8,9.1,98.3
Lindy Waters III,OKC,SG SF,29,52.2,128.4,3,4,57.2,16,16,9.1,7,144.4
Ochai Agbaji,UTA,SG PG,79,136.4,306.9,63.2,81.2,60.2,47.1,15,9.1,26.1,439.3
Patrick Baldwin Jr.,GS,SG PG,29,38.1,86.3,14,18.1,54.2,15,8,7,14,97.3
Paolo Banchero,ORL,SF PF,75,519.6,1079.2,193.6,268.8,600.8,241.7,67.2,66.2,188.6,1315.9
Malaki Branham,SA,SG PG,55,141.4,335,50.2,62.2,62.2,59.2,22.1,8,37.1,363.1
Christian Braun,DEN,SG PG,29,28.1,66.2,11,14,11,13,0,0,7,82.2
Kendall Brown,IND,SG SF PG,79,88.3,198.6,36.1,46.1,61.2,30.1,11,7,20.1,249.7
Jabari Smith Jr.,HOU,SF PF,75,417.2,866.6,163.5,226.7,409.2,134.4,60.2,77.2,126.4,1110.3
Jaden Ivey,DET,SG PG,75,416.2,981.9,163.5,207.6,291.9,267.8,80.2,30.1,162.5,1128.4
Keegan Murray,SAC,SF PF,75,458.4,951.8,175.5,243.7,441.3,123.4,64.2,71.2,109.3,1194.6
Shaedon Sharpe,POR,SG PG,66,191.6,454.4,69.2,86.3,159.5,96.3,47.1,19.1,61.2,505.5
Jalen Duren,DET,C,79,218.7,393.2,93.3,136.4,560.7,82.2,39.1,98.3,86.3,535.6
AJ Griffin,ATL,SF PF,29,47.1,106.3,21.1,26.1,37.1,18.1,8,0,8,144.4
Johnny Davis,WAS,SG PG,57,123.4,292.9,44.1,54.2,97.3,50.2,27.1,9.1,45.1,320
Dyson Daniels,NO,SG PG,67,117.4,276.8,47.1,60.2,125.4,97.3,40.1,18.1,49.1,324
Bennedict Mathurin,IND,SG SF PG,75,355.1,799.4,140.4,183.5,257.8,131.4,55.2,18.1,109.3,998
Ousmane Dieng,OKC,SF PF,79,91.3,205.6,37.1,47.1,84.3,32.1,16,9.1,24.1,255.8
Jeremy Sochan,SA,SF PF,73,172.5,358.1,67.2,92.3,209.6,96.3,52.2,33.1,51.2,450.3
TyTy Washington Jr.,HOU,SG PG,63,104.3,245.7,43.1,55.2,89.3,106.3,26.1,7,43.1,297.9
Tari Eason,HOU,SF PF,75,220.7,496.5,81.2,105.3,228.7,59.2,63.2,42.1,80.2,569.7
Mark Williams,CHA,C,79,64.2,115.3,29.1,43.1,120.4,22.1,9.1,25.1,22.1,165.5
Kennedy Chandler,MEM,SG PG,79,90.3,212.6,37.1,46.1,51.2,79.2,18.1,1,24.1,251.8
Blake Wesley,SA,SG PG,79,151.5,359.1,60.2,74.2,63.2,71.2,20.1,7,31.1,437.3
Nikola Jovic,MIA,SF PF,29,118.4,266.8,47.1,61.2,110.3,54.2,23.1,8,30.1,334
Walker Kessler,UTA,PF C,72,214.6,386.2,93.3,136.4,505.5,52.2,47.1,114.3,64.2,538.6
Trevor Keels,NY,SG PG,29,43.1,102.3,17.1,21.1,34.1,22.1,7,0,14,125.4
Jaden Hardy,DAL,SG PG,79,94.3,223.7,38.1,48.1,44.1,30.1,9.1,0,16,283.8
Bryce McGowens,CHA,SG PG,29,37.1,88.3,16,19.1,38.1,21.1,7,0,11,114.3
Christian Koloko,TOR,C,29,24.1,50.2,9.1,11,47.1,8,7,7,8,57.2
Wendell Moore Jr.,MIN,SF PF,29,36.1,81.2,15,20.1,38.1,19.1,8,4,12,109.3
Jalen Williams,OKC,SG PG,73,232.7,523.6,89.3,115.3,123.4,138.4,53.2,18.1,83.2,627.9
Dalen Terry,CHI,SG PG,29,40.1,95.3,15,19.1,30.1,22.1,7,0,14,112.3
Max Christie,LAL,SG PG,29,44.1,104.3,17.1,21.1,34.1,22.1,8,0,15,122.4
JD Davison,BOS,SG PG,29,11,26.1,5,6,8,12,2,0,5,33.1
Moussa Diabate,LAC,SF PF,29,38.1,79.2,15,19.1,50.2,15,7,8,12,98.3
Caleb Houstan,ORL,SG SF PG,29,20.1,45.1,9.1,10,15,7,0,0,7,58.2
Jake LaRavia,MEM,SG SF PG,79,89.3,185.6,34.1,46.1,105.3,23.1,13,10,17.1,227.7
Andrew Nembhard,IND,SG PG,79,89.3,210.6,39.1,48.1,42.1,75.2,12,0,27.1,261.8
David Roddy,MEM,SG SF PG,29,42.1,87.3,17.1,24.1,40.1,25.1,9.1,0,14,118.4
Ryan Rollins,GS,SG PG,29,44.1,104.3,19.1,23.1,35.1,24.1,8,0,15,132.4
Jabari Walker,POR,SF PF,29,13,27.1,7,8,7,7,0,0,0,41.1
Peyton Watson,DEN,SG PG,29,41.1,92.3,17.1,22.1,38.1,22.1,8,0,10,121.4
Jaylin Williams,OKC,SF PF,29,35.1,63.2,17.1,23.1,50.2,12,8,9.1,14,94.3
Vince Williams Jr.,MEM,SF PF,29,37.1,83.2,16,20.1,44.1,20.1,10,8,9.1,107.3
Isaiah Mobley,CLE,SF PF,29,40.1,83.2,15,21.1,53.2,15,7,7,12,102.3
Tyrese Martin,ATL,SG PG,29,21.1,47.1,8,10,7,7,0,0,0,57.2
